sentence	label
万 科Ａ，中国联通等股票资金流速居前（公司快讯）	1
万科大幅提高现金分红 地产股迎价值重估（公司快讯）	1
华生：万科的独董丧失了独立性，还是首次展现了独立性（续二）（聚焦）	0
恒大持有万科4.68% 买入榜无机构现身（要闻）	0
孙宏斌否认购入万科股票 呼吁媒体应在乎真实性（要闻）	0
钜盛华公告处置万科资管计划 只能是宝能倒仓？（要闻）	2
“万科之争”背后：股权分散时代来临（聚焦）	2
万科郁亮：经济形势未探底 楼市未来仍严峻（要闻）	2
【数据精华】万科郁亮重提“白银时代”/海航人事再变动（特报）	2
争夺万科：二级市场能否理直气壮（尹铭博客）	1
诺亚财富发布Q2财报：与万科成立合资公司（公司快讯）	1
万科股权之争，最终结果将会告诉我们什么？（郭施亮博客）	2
万科5月销售量价齐升 环比上涨均超三成（要闻）	1
万科业绩发布会即将开始 王石未出席（公司快讯）	2
万科肉搏战 华润宣称追责举报人刘元生（要闻）	0
万科涉足银行业的阳谋（赵晓博客）	2
万科之争的公司治理和国企改革意义（华生博客）	0
房地产分级基金B飙涨 押宝万科明日开板（要闻）	1
万科3月悄然提价 仍谨慎看后市（要闻）	1
万科近3亿元入股深圳互金平台（要闻）	1
万科之后，野蛮人出现在哪儿？（张永骥博客）	0
房企比拼销售回款 万科厦门项目陷降价退款风波（要闻）	2
［试听］091.浮盈超百亿，宝能的万科股票卖给谁？（免费音频）	0
证监会谴责万科相关股东及管理层 呼吁各方协商解决问题（要闻）	2
万 科Ａ：2015年一月份销售及近期新增项目情况简报（公司快讯）	0
华润筹划万科股份转让事项 万科临时停牌（要闻）	2
万科2020年毛利率继续下滑 环京项目计提11亿元跌价准备（地产）	2
万科半年净利73亿元 营收同比下滑（要闻）	2
万科：楼市不确定性和波动性或上升（要闻）	2
万科将全程参与泰禾重组 毛利率会继续下降（地产）	2
万科去年利润增速下滑 将寻找新增长点（要闻）	2
万科A完成重组预案修订 7月4日起复牌（公司快讯）	1
前海人寿收揽万科表决权 或为股份转让铺路（要闻）	0
万科：9月销售额环比增一成，均价环比下降538.94元（面包财经博客）	2
万科11月销售面积降两成多（要闻）	2
万科拟公开增发 募资112亿元（要闻）	1
学者称万科重组决议通过有效 张利平已致函董事会（要闻）	1
万科企业股份有限公司公告（系列）（公司快讯）	0
万科安邦半夜发布结盟声明 安邦明确支持万科管理层（要闻）	1
证金公司三季度减持万科 基金减持离场（要闻）	2
万科2013年销售1709亿元（要闻）	1
万科2-3月销售额下降510亿元 预计4万客户交房延期（地产）	2
万科资管计划相继曝光 信披义务各执一词（要闻）	2
万科A到18元再开始增持（尹铭博客）	0
任志强华远地产沦为二流公司 销售不及万科零头（公司快讯）	1
宝能默默在万科身上赚的600亿能到手吗？（张鸿「标题党」 第一季）	0
万科棋局：结束的开始（特别报道）	1
万科：不会进行全国性统一降价（要闻）	0
万科重组争议的小算术难题该怎么个解法？（孔德峰博客）	0
万科下跌 恒大浮亏4.5亿（要闻）	2
万科：重组方案仍在筹划 提升公司价值是底线（房地产）	0
融创中国：无意入股万科 上调全年销售目标（公司快讯）	0
万科谭华杰：6月房地产市场将复苏（要闻）	1
钜盛华2倍杠杆举牌万科 平仓风险显露（要闻）	2
万科调整董事薪酬方案 “宝能系”投弃权票（要闻）	0
万科沪上三新盘较预期减价两成（要闻）	2
【读财报】回暖！TOP30房企5月销售额环比增近两成 万科、恒大、碧桂园居前三（面包财经博客）	1
保监会：要求许家印买下万科纯属谣言（要闻）	0
盘前必读：万达万科将达成战略合作协议 国务院允许大学生休学创业、高校开创业必修课（盘前必读）	1
成都万科就五龙山项目回应财新报道（要闻）	0
茅台变局，万科震荡！甲骨文裁员！利益面前，都是扯淡！（张银银博客）	2
万科A今年前7月实现销售金额1338亿元（公司快讯）	1
TOP30房企年度销售排行：万科恒大融创居金额前三，碧桂园面积居首（面包财经博客）	1
万科战略转为积极（要闻）	1
可以分批买入万科A了（尹铭博客）	1
万科员工香河被打案一审开庭（要闻）	1
摩通首予万科评级“增持” 目标价15元（公司快讯）	0
“宝万之争”未完结 图解万科“老大”争夺战（新闻）	0
万科高管称城镇化必须由国家统筹布局（要闻）	0
今日开盘：万科A开盘下跌3.54% 两市小幅低开（金融市场）	2
铁狮门为何需要万科（博客）	0
万科十月份销售同比大降 看淡土地市场（要闻）	2
万科董事“内战”华润称继续投反对票（公司快讯）	2
宝能系再“夺”万科 华润增持阻击（公司快讯）	1
万科之争：从狭义产权保护到人力资本投资激励（盘古智库）	0
独家|恒大买入万科股票或达2%（要闻）	1
加速瘦身安邦原有资产 大家人寿连续换购ETF减持万科、中国建筑（要闻）	2
【数据图解】万科二季度末净负债率降至27%（特报）	2
万科辟谣央视欠税报道 称公司是依法照章纳税（公司快讯）	1
分析人士：建议投资者继续持有恒大和万科的股票（全球公司）	1
万科发行32亿美元债 万科地产提供担保（要闻）	1
万科A：钜盛华所持1.82亿股解除质押（公司快讯）	0
万科酝酿全国大范围降价（要闻）	2
证监会：将对万科独董回避表决问题进行核实（要闻）	2
【研报精华】万科利润率或探底回升 非开发业务尚未明朗（特报）	0
回首“万宝之争”：万科险中求｜特稿精选（封面报道）	1
华人文化A轮融资近100亿元 万科阿里腾讯领投（TMT）	1
万科去年销售额再破千亿元（要闻）	1
万 科Ａ：北京万科为北京金域华府项目融资提供担保（公司快讯）	1
平安万科推216套房玩众筹（要闻）	1
万科值多少钱？（陈瑛）	0
王石让贤，股权之争后万科命运几何？（郭施亮博客）	0
万科收购印力集团 招商银行90亿元驰援（要闻）	1
独家|万科连跌 银行寻找撤离机会（要闻）	2
图解万科股权抢筹大战 宝能安邦又来个恒大（新闻）	1
万科总部否认毛大庆离职传闻（要闻）	1
创业板上市委候选名单公示 万科郁亮在列（要闻）	1
宝能累计减持万科5% 套现149亿元（要闻）	0
北京万科首度回应长阳半岛业主维权事件（要闻）	1
复盘 | 万科如何把自己树立成“租不起”的典型？（张大伟博客）	1
万科公布北京等三地安信地板复检结果均合格（公司当日快讯）	1
